participant;gender;educational_background;word;position_inside_the_word;preceding_vowel;word_category;F3 Midpoint;F4 Midpoint;F3 Average;F4 Average
pr03;man;master;detenerse;internal ;e;verb;2475.648137194276;3942.38829857816;2440.428472058192;3975.191543507878
pr03;man;master;por;final;o;preposition;1982.4785819212716;2757.225212346043;1957.3603286777522;2770.154891041256
pr03;man;master;puertas;internal ;e;noun;2265.1755219354654;3709.3378971843317;2254.1227343658006;3773.1166717536794
pr03;man;master;poder;final;e;verb;2437.2840808469923;3840.9575210926264;2441.8427960491053;3840.9931238853937
pr03;man;master;ganar;final;a;verb;2368.3086017512765;2572.6553946256854;2305.4857271631804;2662.310938180291
pr03;man;master;enviar;final;a;verb;2326.170541151268;2370.7139895753226;2327.9870241984618;2818.437456325965
pr03;man;master;largas;internal ;a;adjective;2062.4642764264113;2542.4835343382883;2089.080677919605;2558.8802039648276
pr03;man;master;descargando;internal ;a;verb;2428.0100742069903;3954.4280107774525;2280.7808015196365;3629.101083325152
pr03;man;master;mejor;final;o;adjective;1945.6421452998077;2196.7630516179797;1972.0266030834644;3116.58502582866
pr04;woman;doctor;york ;final;o;noun;2113.366603503382;4066.2077168047426;2197.0563468563637;4020.717032271105
pr04;woman;doctor;puerto;internal ;e;noun;3236.9924317766227;4317.696561969409;3044.0330112239735;4350.507005405169
pr04;woman;doctor;hablar;final;a;verb;2711.7406382050394;4050.987757910441;2759.0159268284638;3918.477136554047
pr04;woman;doctor;oportunidades;internal ;o;noun;2785.8141580436786;3782.747676438309;2960.991710920333;4002.0969338413515
pr04;woman;doctor;lugar;final;a;noun;3306.9009472789767;3486.7145236488946;3319.7065524944737;3585.185684180964
pr04;woman;doctor;prosperar;final;a;verb;2401.0943286489696;3280.5807058494124;2463.51465078481;3505.8182723513264
pr04;woman;doctor;puerto;internal ;e;noun;3332.528051699234;4213.627963533029;3170.051924986505;3949.304742981534
pr04;woman;doctor;buscar;final;a;verb;2291.0844776717736;3412.2872591560786;2550.989333099014;3413.6247159215304
pr04;woman;doctor;puerta;internal ;e;noun;3131.4051828365464;3761.7753296381006;3070.6763006592532;3946.972372124985
pr04;woman;doctor;llegar;final;a;verb;3209.443312172324;4279.754223275163;3017.724560623744;3909.653808359472
pr04;woman;doctor;york ;final;o;noun;2367.0769629912547;4022.7368643267187;2367.461772135294;4077.137501267939
pr04;woman;doctor;invierno;internal ;e;noun;3177.9220923384105;3840.52336530993;3168.7819607038673;3806.4406097650935
pr04;woman;doctor;fuerte ;internal ;e;adjective;3131.8256039981056;3659.734129572918;2844.0209022803206;3728.1893736626294
pr04;woman;doctor;intimidar;final;a;verb;3318.4160405544453;4186.35185473422;3009.5295945748644;4222.295639692272
pr04;woman;doctor;mejor;final;o;adjective;2206.5541532100337;3394.5585602572123;2593.0898241750197;3711.00864773702
pr04;woman;doctor;puertorriqueños;internal ;e;noun;3109.8945028065714;3403.6662829934266;2493.7343953668383;3772.5770876591687
pr04;woman;doctor;estar;final;a;verb;3104.0934339674764;4227.799506533408;2983.423369852654;4093.957728667299
pr04;woman;doctor;cierta;internal ;e;adjective;3125.510516409972;4134.674936869839;3124.498124178539;4205.602461999346
pr04;woman;doctor;fuerte ;internal ;e;adjective;3270.6416248515984;3701.223109921467;3277.713327369265;4134.1549322358405
pr04;woman;doctor;mar;final;a;noun;2582.9033052029376;3379.8014783366843;2451.714857313846;3375.797091922859
pr04;woman;doctor;calor;final;o;noun;2490.286832205154;3511.510176799942;2464.809981242173;3487.878832503223
pr04;woman;doctor;detenerse;internal ;e;verb;3091.283683529642;4097.56908906224;3098.8239674947754;4018.7506864789807
pr04;woman;doctor;por;final;o;preposition;2511.259245917518;3935.9500526525094;2497.0494747923394;3942.484769332079
pr04;woman;doctor;puertas;internal ;e;noun;2933.179349144638;3315.393889799573;3120.1316903185275;3549.687208453861
pr04;woman;doctor;poder;final;e;verb;3279.805475568863;3546.2134638012876;3242.0943213204964;4279.61149824149
pr04;woman;doctor;ganar;final;a;verb;2984.9759958084696;3882.329544595234;2883.944264260292;3693.601712505529
pr04;woman;doctor;enviar;final;a;verb;3114.2275368597952;4189.520352115304;3153.563557864074;4225.879754126954
pr04;woman;doctor;largas;internal ;a;adjective;2625.115983544072;4429.54507392094;2734.987387480534;4166.718136761339
pr04;woman;doctor;descargando;internal ;a;verb;2595.5511995492307;3868.5444660706476;2763.718722510334;3823.06835429361
pr04;woman;doctor;mejor;final;o;adjective;2647.4913118659256;4160.26228642146;2565.8073225927014;4192.194859146407
pr05;woman;doctor;york ;final;o;noun;2485.6391269836386;4230.904434105203;2476.1151579273774;4198.395988191085
pr05;woman;doctor;puerto;internal ;e;noun;2926.35673735554;4606.419622709279;2915.5570150871745;4506.630057479725
pr05;woman;doctor;hablar;final;a;verb;1702.6761768120473;2897.171439538996;1936.466153050147;2909.637084696397
pr05;woman;doctor;oportunidades;internal ;o;noun;3009.5958907058475;4594.872610745492;2949.282503100431;4551.25196157609
pr05;woman;doctor;lugar;final;a;noun;2913.376677474321;4506.079714696105;2776.247885503967;4325.369009893687
pr05;woman;doctor;prosperar;final;a;verb;2355.946777755325;3657.374357118104;2302.110336078598;3498.2727239085907
pr05;woman;doctor;puerto;internal ;e;noun;3034.639573943194;4634.049412803771;3049.205018074747;4603.924177667171
pr05;woman;doctor;buscar;final;a;verb;2242.3645614304455;2800.296096046143;2206.557743744924;2954.478409138528
